,Channel,IF,Polar,Frequency,Velocity,Amplitude,Phase
0,1,1,RR,1720.8099,0.0,,
1,2,1,RR,1720.8093,0.0,0.000258678,6.04
2,3,1,RR,1720.8087,0.0,0.000463556,-95.605
3,4,1,RR,1720.8081,0.0,0.000522407,-106.389
4,5,1,RR,1720.8075,0.0,0.000422755,-20.039
5,6,1,RR,1720.8069,0.0,0.000863785,-122.18799999999999
6,7,1,RR,1720.8063,0.0,0.000647328,-79.637
7,8,1,RR,1720.8057,0.0,0.000327847,-158.118
8,9,1,RR,1720.805,0.0,0.000504332,-10.425
9,10,1,RR,1720.8044,0.0,0.000731341,-63.973
10,11,1,RR,1720.8038,0.0,0.000378952,86.789
11,12,1,RR,1720.8032,0.0,0.000849124,170.445
12,13,1,RR,1720.8026,0.0,0.000453954,-109.161
13,14,1,RR,1720.802,0.0,8.3933e-05,0.9159999999999999
14,15,1,RR,1720.8014,0.0,0.000475233,-77.27
15,16,1,RR,1720.8008,0.0,0.00172713,-99.62200000000001
16,17,1,RR,1720.8002,0.0,0.000683743,-61.218
17,18,1,RR,1720.7995,0.0,0.00120444,-75.582
18,19,1,RR,1720.7989,0.0,0.000477653,4.378
19,20,1,RR,1720.7983,0.0,0.00145418,-38.687
20,21,1,RR,1720.7977,0.0,0.0019593,-104.14200000000001
21,22,1,RR,1720.7971,0.0,0.00111775,-94.632
22,23,1,RR,1720.7965,0.0,0.00122941,-44.526
23,24,1,RR,1720.7959,0.0,0.0019214,-98.005
24,25,1,RR,1720.7953,0.0,0.00208848,-95.87799999999999
25,26,1,RR,1720.7947,0.0,0.00145095,-55.488
26,27,1,RR,1720.7941,0.0,0.000263325,-120.865
27,28,1,RR,1720.7934,0.0,0.00213769,-65.868
28,29,1,RR,1720.7928,0.0,0.00169325,-94.51
29,30,1,RR,1720.7922,0.0,0.000811664,-117.415
30,31,1,RR,1720.7916,0.0,0.00135233,-86.52799999999999
31,32,1,RR,1720.791,0.0,0.00117082,-51.816
32,33,1,RR,1720.7904,0.0,0.00147985,-102.94200000000001
33,34,1,RR,1720.7898,0.0,0.000449094,139.359
34,35,1,RR,1720.7892,0.0,0.00202288,-64.82600000000001
35,36,1,RR,1720.7886,0.0,0.00211512,-65.37100000000001
36,37,1,RR,1720.788,0.0,0.00157414,-81.048
37,38,1,RR,1720.7873,0.0,0.000736914,-76.418
38,39,1,RR,1720.7867,0.0,0.00144164,-88.309
39,40,1,RR,1720.7861,0.0,0.0017701,-88.637
40,41,1,RR,1720.7855,0.0,0.00151435,-78.487
41,42,1,RR,1720.7849,0.0,0.00113326,152.043
42,43,1,RR,1720.7843,0.0,0.00125215,-66.949
43,44,1,RR,1720.7837,0.0,0.00199555,-50.20399999999999
44,45,1,RR,1720.7831,0.0,0.00098041,-104.945
45,46,1,RR,1720.7825,0.0,0.000983436,-84.912
46,47,1,RR,1720.7818,0.0,0.00182561,-121.38600000000001
47,48,1,RR,1720.7812,0.0,0.00164101,-62.453
48,49,1,RR,1720.7806,0.0,0.00198687,-139.439
49,50,1,RR,1720.78,0.0,0.000743962,98.4
50,51,1,RR,1720.7794,0.0,0.000355505,138.145
51,52,1,RR,1720.7788,0.0,0.00193674,-128.751
52,53,1,RR,1720.7782,0.0,0.000859737,-45.79600000000001
53,54,1,RR,1720.7776,0.0,0.00070411,-81.39
54,55,1,RR,1720.777,0.0,0.00136127,-134.421
55,56,1,RR,1720.7764,0.0,0.00100739,-104.311
56,57,1,RR,1720.7757,0.0,0.00108162,-21.858
57,58,1,RR,1720.7751,0.0,0.000407903,-69.982
58,59,1,RR,1720.7745,0.0,0.00104161,-88.78399999999999
59,60,1,RR,1720.7739,0.0,0.000464479,-67.233
60,61,1,RR,1720.7733,0.0,0.00188239,-20.160999999999998
61,62,1,RR,1720.7727,0.0,0.000774977,-85.522
62,63,1,RR,1720.7721,0.0,0.00111319,-100.444
63,64,1,RR,1720.7715,0.0,0.000549968,176.12
64,65,1,RR,1720.7709,0.0,0.000972142,4.11
65,66,1,RR,1720.7703,0.0,0.000248887,-131.366
66,67,1,RR,1720.7696,0.0,0.000684926,-51.199
67,68,1,RR,1720.769,0.0,0.00136275,-157.651
68,69,1,RR,1720.7684,0.0,0.00178432,-68.778
69,70,1,RR,1720.7678,0.0,0.000903461,-67.656
70,71,1,RR,1720.7672,0.0,0.00199004,-139.23
71,72,1,RR,1720.7666,0.0,0.00092654,-157.471
72,73,1,RR,1720.766,0.0,0.000915362,-72.189
73,74,1,RR,1720.7654,0.0,0.000664224,-82.76299999999999
74,75,1,RR,1720.7648,0.0,8.72745e-05,-17.097
75,76,1,RR,1720.7641,0.0,0.000399185,-99.259
76,77,1,RR,1720.7635,0.0,0.00155621,-73.652
77,78,1,RR,1720.7629,0.0,0.00163422,-96.492
78,79,1,RR,1720.7623,0.0,0.000987643,-178.479
79,80,1,RR,1720.7617,0.0,0.00127014,-89.214
80,81,1,RR,1720.7611,0.0,0.00109858,-126.62299999999999
81,82,1,RR,1720.7605,0.0,0.0019826,-105.414
82,83,1,RR,1720.7599,0.0,0.000939186,-108.72200000000001
83,84,1,RR,1720.7593,0.0,0.00173991,-172.25099999999998
84,85,1,RR,1720.7587,0.0,0.00149526,-46.043
85,86,1,RR,1720.758,0.0,0.00131956,-144.185
86,87,1,RR,1720.7574,0.0,0.00203038,-72.40100000000001
87,88,1,RR,1720.7568,0.0,0.00123739,-149.69799999999998
88,89,1,RR,1720.7562,0.0,0.00225206,-78.22
89,90,1,RR,1720.7556,0.0,0.00122319,-18.272000000000002
90,91,1,RR,1720.755,0.0,0.00120665,-63.06399999999999
91,92,1,RR,1720.7544,0.0,0.000565242,62.483999999999995
