,Channel,IF,Polar,Frequency,Velocity,Amplitude,Phase
0,1,1,RR,1720.8099,0.0,,
1,2,1,RR,1720.8093,0.0,0.00108817,38.371
2,3,1,RR,1720.8087,0.0,0.000616074,-53.879
3,4,1,RR,1720.8081,0.0,0.00149315,-130.997
4,5,1,RR,1720.8075,0.0,0.00125846,-88.584
5,6,1,RR,1720.8069,0.0,0.00235956,-149.132
6,7,1,RR,1720.8063,0.0,0.00133981,34.219
7,8,1,RR,1720.8057,0.0,0.00277519,177.955
8,9,1,RR,1720.805,0.0,0.000337434,152.136
9,10,1,RR,1720.8044,0.0,0.00267359,113.821
10,11,1,RR,1720.8038,0.0,0.00288606,-118.08
11,12,1,RR,1720.8032,0.0,0.00278541,-137.064
12,13,1,RR,1720.8026,0.0,0.000430994,6.09
13,14,1,RR,1720.802,0.0,0.00409223,-160.686
14,15,1,RR,1720.8014,0.0,0.00260577,-176.285
15,16,1,RR,1720.8008,0.0,0.00422114,-54.773
16,17,1,RR,1720.8002,0.0,0.00596766,-145.425
17,18,1,RR,1720.7995,0.0,0.00436774,-114.774
18,19,1,RR,1720.7989,0.0,0.00484081,-39.565
19,20,1,RR,1720.7983,0.0,0.00214726,-12.571
20,21,1,RR,1720.7977,0.0,0.00185226,65.01100000000001
21,22,1,RR,1720.7971,0.0,0.00667739,86.035
22,23,1,RR,1720.7965,0.0,0.00130737,-150.52100000000002
23,24,1,RR,1720.7959,0.0,0.00491431,119.23
24,25,1,RR,1720.7953,0.0,0.00568869,-127.045
25,26,1,RR,1720.7947,0.0,0.000432256,47.442
26,27,1,RR,1720.7941,0.0,0.000491294,-49.256
27,28,1,RR,1720.7934,0.0,0.00200961,-3.718
28,29,1,RR,1720.7928,0.0,0.00509126,-105.286
29,30,1,RR,1720.7922,0.0,0.00751536,-101.959
30,31,1,RR,1720.7916,0.0,0.00473041,176.986
31,32,1,RR,1720.791,0.0,0.00181427,-85.064
32,33,1,RR,1720.7904,0.0,0.00454918,8.555
33,34,1,RR,1720.7898,0.0,0.00353989,-44.452
34,35,1,RR,1720.7892,0.0,0.00410727,-74.75399999999999
35,36,1,RR,1720.7886,0.0,0.00298142,118.417
